regularization ,cost_type ,marginals ,steps ,time               ,errors
          10.0 ,Coulomb   ,        4 ,  201 , 929.0744080543518 ,"[8.962111337496026e-07, 1.1290993597867782e-06, 9.139903340837918e-07, 1.1728732260962715e-06]"
          10.0 ,Quadratic ,        4 ,  201 , 843.3971302509308 ,"[1.0354252708566491e-06, 1.1656102287815884e-06, 8.654556609144493e-07, 1.3392757409746991e-06]"
           1.0 ,Coulomb   ,        4 ,  201 , 890.0140864849091 ,"[2.1858775198779767e-06, 1.0736455351434415e-06, 1.0369734582127421e-06, 1.2888428955193376e-06]"
           1.0 ,Quadratic ,        4 ,  201 ,1012.6993811130524 ,"[1.8910590142695582e-06, 9.985801625589374e-07, 1.112209588427504e-06, 9.103588354264502e-07]"
           0.5 ,Coulomb   ,        4 ,  201 , 932.8168778419495 ,"[8.449833899248915e-07, 1.0399229495305917e-06, 8.443441856798017e-07, 1.1797887964348774e-06]"
           0.5 ,Quadratic ,        4 ,  201 , 877.8633003234863 ,"[1.0413042446089094e-06, 8.043102752708364e-07, 7.841696287869127e-07, 1.0181174729950726e-06]"
