regularization,cost_type,marginals,steps,time,errors
10.0,Coulomb,2,201,1.916217565536499,"[1.9213554480757011e-07, 1.853949527230725e-07]"
10.0,Quadratic,2,201,0.5981476306915283,"[1.6899650745472172e-07, 2.1149158158095815e-07]"
1.0,Coulomb,2,201,0.5664422512054443,"[1.786997216868258e-07, 1.2674976801463345e-07]"
1.0,Quadratic,2,201,0.5986416339874268,"[1.760961083618895e-07, 1.230992410228282e-07]"
0.5,Coulomb,2,201,0.5688052177429199,"[1.6499868138453166e-07, 2.110129031507313e-07]"
0.5,Quadratic,2,201,0.4981553554534912,"[1.544007801612679e-07, 1.6657868684433197e-07]"
