regularization,cost_type,marginals,steps,time,errors
10.0,Coulomb,4,201,852.9765753746033,"[9.475232332079031e-07, 1.0158718168895575e-06, 9.926654911396326e-07, 1.351054379483685e-06]"
10.0,Quadratic,4,201,866.6375427246094,"[1.1095462468801998e-06, 1.062099613591272e-06, 8.535898814443499e-07, 1.0579511808828101e-06]"
1.0,Coulomb,4,201,822.4147617816925,"[2.197887170041213e-06, 1.177221520265448e-06, 1.1258734957664274e-06, 1.275028807867784e-06]"
1.0,Quadratic,4,201,780.627284526825,"[2.054877995760762e-06, 9.986478062273818e-07, 1.1372350172678125e-06, 9.755570999914198e-07]"
0.5,Coulomb,4,201,780.2562489509583,"[8.314016213262221e-07, 8.275339951069327e-07, 7.746892833893071e-07, 1.3024346117163077e-06]"
0.5,Quadratic,4,201,798.2530431747437,"[1.1042467349398066e-06, 1.0344882639401476e-06, 7.914514412732387e-07, 9.775144462764729e-07]"
