regularization,cost_type,marginals,steps,time,errors
10.0,Coulomb,3,201,5.479470729827881,"[2.1800147465000919e-07, 3.669190107302711e-07, 3.1905355513117684e-07]"
10.0,Quadratic,3,201,6.99954080581665,"[2.513535264370148e-07, 3.817844742570742e-07, 4.1205387901754875e-07]"
1.0,Coulomb,3,201,5.299821376800537,"[2.522545514693775e-07, 3.569085151866602e-07, 3.7371054872892273e-07]"
1.0,Quadratic,3,201,5.500209093093872,"[2.8761172643498867e-07, 2.896824469189596e-07, 4.1760472413443495e-07]"
0.5,Coulomb,3,201,5.866485118865967,"[2.7927401902161364e-07, 4.1849438048302545e-07, 1.8779881827413192e-07]"
0.5,Quadratic,3,201,5.91624903678894,"[2.2814384692537715e-07, 2.9361399356275797e-07, 2.778719476737024e-07]"
